Prestacion_lematizada;Presta_Orig
vehículo mal estacionado;Vehículo mal estacionado
reparación luminario apagado noche;Reparación de luminaria apagada durante la noche
reparación veredo;Reparación de vereda
Instalación Campana Verde;Instalación de Campana Verde
poda árbol/despeje luminario semáforo;Poda de árbol/despeje de luminaria o semáforo
cruce peligroso calle inconveniente vial;Cruce peligroso o calle con inconvenientes viales
ruido molesto vibración;Ruidos molestos y vibraciones
Acceso información público;Acceso a la información pública
retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria
retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos)
retiro escombro resto obra;Retiro de escombros / restos de obra
reparación semáforo;Reparación de semáforo
consulta expediente Agencia Protección Ambiental;Consulta de estado de expediente ante la Agencia de Protección Ambiental
consulta técnico trámite Sitios Contaminados;Consulta técnica sobre trámites por Sitios Contaminados
consulta técnico trámite Certificado Aptitud Ambiental Lavaderos Antenas;Consulta técnica sobre trámite de Certificado de Aptitud Ambiental - Lavaderos - Antenas
consulta técnico trámite Registro Emisiones Fuentes Fijas REF Permisos vuelco efluente líquido;Consulta técnica sobre trámite de Registro de Emisiones de Fuentes Fijas (REF) - Permisos de vuelcos de efluentes líquidos
criadero mosquito;Criaderos de mosquitos
plantación árbol;Plantación de árbol
consulta técnico trámite Registro Residuos Peligrosos Patogénicos Asbestos Aceites Vegetales usado comercial;Consulta técnica sobre trámite de Registro de Residuos Peligrosos, Patogénicos, Asbestos y Aceites Vegetales Usados comerciales
consulta técnico tramite inscripción registro actividad catalogado potencialmente contaminante ruido vibración RAC;Consulta técnica sobre tramites de inscripción en el registro de actividades catalogadas como potencialmente contaminantes por ruidos y vibraciones (RAC)
cerramiento patio balcón permiso;Cerramiento de patio o balcón sin permiso
remoción vehículo abandonado;Remoción de vehículo abandonado
higiene deficiente establecimiento venta elaboración alimento;Higiene deficiente en establecimiento sin venta o elaboración de alimentos
extracción árbol;Extracción de árbol
recolección residuo contenedor;Recolección de residuos fuera del contenedor
obra/construcción afectar dañar vivienda lindero;Obra/construcción que afecta o daña vivienda lindera
vaciado contenedor;Vaciado de contenedor
desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública
obra construcción protección falta seguridad edificio lindero y/o vía público;Obra en construcción sin protección o falta de seguridad a edificios linderos y/o vía pública
reubicación contenedor;Reubicación de contenedor
faltar recolección resto poder arbolado público;Falta de recolección de restos de poda de arbolado público
Mayor iluminación calle plaza;Mayor iluminación en calle / plaza
hidrolavado grafitis/pegatinas;Hidrolavado por grafitis/pegatinas
árbol enfermedad;Árbol con enfermedades
reparación contenedor;Reparación de contenedor
Mayor presencia policial;Mayor presencia policial
incumplimiento derecho consumidor;Incumplimientos a los derechos del consumidor
propuesta mejorar trámite;Propuestas para la mejora en trámites
reparación luminario artefacto roto;Reparación de luminaria por artefacto roto
mejora barrer;Mejora de barrido
inconveniente trámite;Inconvenientes con trámites
mantenimiento patio juego parque/plaza;Mantenimiento de patio de juegos en parque/plaza
mantenimiento parque plaza;Mantenimiento de parque / plaza
higienización desratización saneamiento terreno baldío/caso abandonado;Higienización, desratización, saneamiento de terreno baldío/casa abandonada
establecimiento autorización funcionar venta elaboración alimento;Establecimiento sin autorización para funcionar sin venta o elaboración de alimentos
mantenimiento canil parque/plaza;Mantenimiento de caniles en parque/plaza
ocupación indebido vereda/calzada local comercial;Ocupación indebida de la vereda/calzada por local comercial
irregularidad puesto diario;Irregularidades en puesto de diarios
pintura grafitis;Pintura sobre grafitis
reparación/nivelación tapa empresa servicio público vereda;Reparación/Nivelación de tapa de empresa de servicio público en vereda
