Prestacion_Lemma ; Prestacion
prestacion_lematizada;Presta_Orig
vehículo mal estacionado;Vehículo mal estacionado
reparación luminario apagado noche;Reparación de luminaria apagada durante la noche
reparación veredo;Reparación de vereda
instalación campana verde;Instalación de Campana Verde
poda árbol/despeje luminario semáforo;Poda de árbol/despeje de luminaria o semáforo
cruce peligroso calle inconveniente vial;Cruce peligroso o calle con inconvenientes viales
ruido molesto vibración;Ruidos molestos y vibraciones
acceso información público;Acceso a la información pública
retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria
retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos)
retiro escombro resto obra;Retiro de escombros / restos de obra
reparación semáforo;Reparación de semáforo
consulta expediente agencia protección ambiental;Consulta de estado de expediente ante la Agencia de Protección Ambiental
consulta técnico trámite sitios contaminados;Consulta técnica sobre trámites por Sitios Contaminados
consulta técnico trámite certificado aptitud ambiental lavaderos antenas;Consulta técnica sobre trámite de Certificado de Aptitud Ambiental - Lavaderos - Antenas
consulta técnico trámite registro emisiones fuentes fijas ref permisos vuelco efluente líquido;Consulta técnica sobre trámite de Registro de Emisiones de Fuentes Fijas (REF) - Permisos de vuelcos de efluentes líquidos
criadero mosquito;Criaderos de mosquitos
plantación árbol;Plantación de árbol
consulta técnico trámite registro residuos peligrosos patogénicos asbestos aceites vegetales usado comercial;Consulta técnica sobre trámite de Registro de Residuos Peligrosos, Patogénicos, Asbestos y Aceites Vegetales Usados comerciales
consulta técnico tramite inscripción registro actividad catalogado potencialmente contaminante ruido vibración rac;Consulta técnica sobre tramites de inscripción en el registro de actividades catalogadas como potencialmente contaminantes por ruidos y vibraciones (RAC)
cerramiento patio balcón permiso;Cerramiento de patio o balcón sin permiso
remoción vehículo abandonado;Remoción de vehículo abandonado
higiene deficiente establecimiento venta elaboración alimento;Higiene deficiente en establecimiento sin venta o elaboración de alimentos
extracción árbol;Extracción de árbol
recolección residuo contenedor;Recolección de residuos fuera del contenedor
obra/construcción afectar dañar vivienda lindero;Obra/construcción que afecta o daña vivienda lindera
vaciado contenedor;Vaciado de contenedor
desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública
obra construcción protección falta seguridad edificio lindero y/o vía público;Obra en construcción sin protección o falta de seguridad a edificios linderos y/o vía pública
reubicación contenedor;Reubicación de contenedor
faltar recolección resto poder arbolado público;Falta de recolección de restos de poda de arbolado público
mayor iluminación calle plaza;Mayor iluminación en calle / plaza
